tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N505JB,2000,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N178DZ,2000,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N8923E,1967,NW,DC-9-31,Fixed Wing Multi-Engine,Turbo-Jet,DOUGLAS
N762NW,1969,NW,DC-9-41,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N675MC,1975,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N912WN,2008,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N784UA,1997,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N503UA,1989,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N5EDAA,NULL,AA,,,,
N5DHAA,NULL,AA,,,,
N557AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N14358,1988,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N16301,1985,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N851UA,2002,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS
N658UA,1993,UA,767-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N561UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N174DZ,1998,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N1608,2000,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N472WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5FBAA,NULL,AA,,,,
N754AS,1992,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N32626,1995,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N33262,2001,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N780SW,2000,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N477WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5EUAA,NULL,AA,,,,
N607JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N731SA,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N247WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N845UA,2001,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N785SW,2000,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N18243,1999,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N76515,NULL,CO,NULL,NULL,NULL,NULL
N675AW,2005,US,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N449WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N59338,1987,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N17345,1987,CO,737-3TO,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N24706,1998,CO,737-724,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N725SW,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N847UA,2001,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N390AA,1995,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N388AA,1995,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N345AA,1992,AA,G-IV,Fixed Wing Multi-Engine,Turbo-Fan,GULFSTREAM AEROSPACE
N776AS,1994,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N37267,2001,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N905WN,NULL,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N780UA,1996,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N779UA,1996,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5DEAA,NULL,AA,,,,
N209WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N73256,2000,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N504UA,1989,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N655AW,1999,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N665AW,2001,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N612AA,1989,AA,757-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5EFAA,NULL,AA,,,,
N308SA,1986,WN,737-3Y0,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
