tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N335AA,1987,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N664AW,2001,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N57111,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N352AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N433LV,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N590UA,1997,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N765AS,1992,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N352SW,1990,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N598JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N595UA,1998,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N438WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3753,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N623JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N675DL,1992,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N762AS,1992,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N595NW,2003,NW,757-351,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N582JB,2003,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N655JB,2007,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N319AA,1985,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N538UA,1991,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N965AT,2001,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N635JB,2006,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N509JB,2000,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N5FSAA,NULL,AA,,,,
N663SW,1985,WN,737-3Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N930AT,2000,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N583AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N473AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N358NW,1998,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N239WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N475HA,2001,HA,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N338NW,1992,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N558JB,2003,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N919AT,2001,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N428UA,1995,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N76514,NULL,CO,NULL,NULL,NULL,NULL
N5FHAA,NULL,AA,,,,
N848UA,2002,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N443WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N225WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5EGAA,NULL,AA,,,,
N353NB,2002,NW,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N3757D,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N427UA,1995,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N466WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N835AW,NULL,US,A319-132,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N294JB,NULL,B6,NULL,NULL,NULL,NULL
N241WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N219AA,1983,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N3DGAA,NULL,AA,,,,
N477AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N550AA,1964,AA,HST-550,Fixed Wing Single-Engine,Turbo-Prop,HELIO
N934UW,1993,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N461WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N818NW,2007,NW,A330-323,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N434US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N659DL,1990,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N127DL,1988,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N441US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N212WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N106US,1999,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N437WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N743SW,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N446AA,1987,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N584AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N3743H,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N211WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N432UA,1996,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N331NW,1992,NW,A320-211,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N504AA,NULL,AA,,,,
N909DE,1992,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS CORPORATION
N473WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N916DE,1993,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N920DL,1988,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N4WWAA,NULL,AA,,,,
N983DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N438UA,1997,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N111US,1999,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N737US,2000,US,A319-112,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N921DL,1988,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N332SW,1988,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5BTAA,NULL,AA,,,,
N771NC,1978,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N784NC,1980,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N968UW,NULL,US,NULL,NULL,NULL,NULL
N489WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N425US,1989,US,737-401,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N752AT,1984,DL,757-212,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N785NC,1980,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N779NC,1979,NW,DC-9-51,Fixed Wing Multi-Engine,Turbo-Jet,MCDONNELL DOUGLAS
N227WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N387SW,1994,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N423WN,2002,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N614SW,1995,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N586AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N34111,2002,XE,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N928WN,NULL,WN,NULL,NULL,NULL,NULL
N653SW,1997,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5ERAA,NULL,AA,,,,
N463WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N249WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N272WN,2007,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N928LR,2005,YV,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N728SW,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N11191,2005,XE,EMB-145XR,Fixed Wing Multi-Engine,Turbo-Fan,EMBRAER
N324MQ,NULL,MQ,NULL,NULL,NULL,NULL
N240MQ,NULL,MQ,NULL,NULL,NULL,NULL
N821SK,2007,OO,CL600-2D24,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N695MQ,NULL,MQ,NULL,NULL,NULL,NULL
N620MQ,NULL,MQ,NULL,NULL,NULL,NULL
N816MQ,NULL,MQ,NULL,NULL,NULL,NULL
N833MQ,NULL,MQ,NULL,NULL,NULL,NULL
N811MQ,NULL,MQ,NULL,NULL,NULL,NULL
N681BR,2002,EV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N708EV,2002,EV,CL-600-2C10,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N299SW,1997,OO,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,EMBRAER
N565SW,1998,OO,EMB-120,Fixed Wing Multi-Engine,Turbo-Prop,EMBRAER
N233SW,1995,OO,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,EMBRAER
N292UX,1994,OO,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,EMBRAER
N931EV,2005,EV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N785CA,1999,OH,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N907SW,2001,OO,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N989CA,1998,OH,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Jet,CANADAIR
N651ML,NULL,YV,CL-600-2B19,Fixed Wing Multi-Engine,Turbo-Fan,BOMBARDIER INC
N271YV,1993,OO,EMB-120ER,Fixed Wing Multi-Engine,Turbo-Prop,EMBRAER
N709TW,1997,DL,757-2Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N710TW,1997,DL,757-2Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N713TW,1997,DL,757-2Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N594HA,1986,HA,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N585HA,NULL,HA,767-3G5,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N596HA,1986,HA,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N376SW,1994,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N212UA,2000,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N211UA,2000,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N210UA,2000,UA,777-222,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N628AW,1989,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N657AW,1999,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N329AA,1987,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N320AA,1985,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N321AA,1986,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N596AS,NULL,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N508AS,NULL,AS,NULL,NULL,NULL,NULL
N506AS,NULL,AS,NULL,NULL,NULL,NULL
N594JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N715JB,NULL,B6,NULL,NULL,NULL,NULL
N76064,2002,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N76065,2002,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N77066,2002,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N592HA,2003,HA,767-3CB,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N612SW,1995,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N208WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N381UA,1990,UA,737-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N937UA,1992,UA,737-522,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N925UA,1992,UA,737-522,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N642AW,1996,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N328AA,1986,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N565AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N553AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3769L,2002,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N3760C,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N3762Y,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N369SW,1993,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N650SW,1997,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N648AW,1997,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N601AW,2003,US,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N632AW,1989,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N332AA,1987,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N568AS,2007,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N594AS,2008,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N513AS,NULL,AS,NULL,NULL,NULL,NULL
N585JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N589JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N17122,1997,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N29124,1998,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N13110,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N222WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N653JB,2007,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N644JB,2006,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N599JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N149AT,2004,FL,737-76N,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N316AT,2007,FL,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N521SW,1991,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N382SW,1994,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N505UA,1989,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N518UA,1990,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N653AW,1999,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N634AW,1990,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N629AW,1990,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N668AW,2002,US,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N621AW,1989,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N374AA,1992,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N381AA,1956,AA,DC-7BF,Fixed Wing Multi-Engine,Reciprocating,DOUGLAS
N362AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N26210,1998,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N75426,NULL,CO,NULL,NULL,NULL,NULL
N77295,2005,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N765SW,2000,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N588UA,1993,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N648UA,1992,UA,767-322,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N353AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N360AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N383AA,1972,AA,E-90,Fixed Wing Multi-Engine,Turbo-Prop,BEECH
N17620,1994,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N11612,1994,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N16646,1997,CO,737-524,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N583HA,NULL,HA,767-33A,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N584HA,NULL,HA,767-3G5,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N593HA,2003,HA,767-33A,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N523SW,1992,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N512SW,1991,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N644AW,1992,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N603AW,1997,US,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N548AS,2005,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N588AS,2007,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N564AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N625JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N648JB,2006,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N76503,NULL,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N18223,1998,CO,737-824,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N75410,2001,CO,737-924,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N951DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N918DE,1993,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N939DL,1989,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N126AT,2004,FL,737-76N,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N288AT,2006,FL,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N169AT,2004,FL,737-76N,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N425LV,2002,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N229WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N733SA,1999,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N560UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N510UA,1990,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N342AA,NULL,AA,,,,
N3749D,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N676DL,1992,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N582HA,2001,HA,767-33A,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N395SW,1994,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N826AW,NULL,US,A319-132,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N620AW,1989,US,A320-231,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N592AS,2008,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N590AS,NULL,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N597JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N746JB,NULL,B6,NULL,NULL,NULL,NULL
N624JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N632DL,1987,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N315SW,1986,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N494WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N517UA,1990,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N554UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N336AA,1987,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N322AA,1986,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N566AS,2007,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N584JB,NULL,B6,,,,
N647DL,1989,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N144DA,1999,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N125DL,1988,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N598HA,1986,HA,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N581HA,2001,HA,767-33A,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N501SW,1990,WN,737-5H4,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N314SW,1986,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N397SW,1995,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N508UA,1990,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N555UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N569AS,2007,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N562AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N67171,2001,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N693DL,1998,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N588HA,2002,HA,767-3CB,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N270WN,1998,WN,737-705,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N399WN,1995,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N455WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N658AW,1999,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N640AW,1994,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N556AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N658JB,2007,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N554JB,2002,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N687DL,1998,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N961DL,1990,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N988DL,1991,DL,MD-88,Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS AIRCRAFT CO
N350SW,1989,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N669AW,2002,US,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N827AW,2001,US,A319-132,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N663AW,2001,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N672AW,2004,US,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N391AA,1995,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N552AS,2006,AS,737-890,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N612JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N708JB,NULL,B6,NULL,NULL,NULL,NULL
N639JB,2006,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N68061,2002,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N66051,2000,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N67058,2002,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N300AT,2006,FL,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N328AT,NULL,FL,737-7BD,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N276AT,2005,FL,737-76N,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N591HA,2003,HA,767-33A,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N587HA,2002,HA,767-33A,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N624SW,1996,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N601WN,1995,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N557UA,1992,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N661AW,2000,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N650AW,1998,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N729JB,NULL,B6,NULL,NULL,NULL,NULL
N615JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N656JB,2007,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N67052,2000,CO,767-424ER,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N6709,2000,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
